t,value
1,0.11417065664771738
2,0.10719231362955402
3,0.10070688376618774
4,0.09506504110581931
5,0.08867650528496283
6,0.08395082613945709
7,0.07799804068980389
8,0.0734599036958199
9,0.06926870464138993
10,0.0642563571747394
11,0.06069549194439109
12,0.058086344557776656
13,0.05415399650151037
14,0.05120847679631753
15,0.04756252186842164
16,0.044505785771725634
17,0.04222556361858317
18,0.040798363920739926
19,0.037107335641835895
20,0.035043056975040926
21,0.03342208843386016
22,0.03148659243324353
23,0.029520519748282185
24,0.028335179212645552
25,0.026350412475070462
26,0.02431597100191762
27,0.02229435455900889
28,0.02278554072968517
29,0.020021874020706577
30,0.018404659953717623
31,0.01909972026616885
32,0.018032273427958392
33,0.01560174100185063
34,0.0144212249713272
35,0.014618133000162667
36,0.013658246746494719
37,0.012621834103639422
38,0.012309482323287647
39,0.011538058654065887
40,0.010312924052874933
41,0.010177495872930818
42,0.00937885796005137
43,0.009703275668515112
44,0.009277424794030698
45,0.008777360816972238
46,0.007097812403521282
47,0.007404006978221734
48,0.00738924011237602
49,0.006469111000391457
50,0.0056032223771663985
