t,value
1,0.10767263925817254
2,0.09460902802350728
3,0.08408828251938832
4,0.07384581949401132
5,0.06473607319789308
6,0.05758172935877733
7,0.0508050269144389
8,0.04497368367295625
9,0.04039598647146968
10,0.03538554248529623
11,0.031199645115411727
12,0.02852965326677489
13,0.024983212972447773
14,0.021054456656302598
15,0.020026388756623614
16,0.01780821790668953
17,0.014555043035854441
18,0.012828831814019306
19,0.011954613160876731
20,0.010623502858632077
21,0.009340794769760598
22,0.00813572964916495
23,0.008754631425884146
24,0.007561244963310641
25,0.005824697485171425
26,0.006259390565830619
27,0.004913054609388983
28,0.003994686995784583
29,0.005041520788767097
30,0.004351389028009498
