t,value
1,0.04845466808161256
2,0.046063035601968436
3,0.043172633990910037
4,0.04154210390432235
5,0.03779359333918234
6,0.03675238007441761
7,0.0366328728992806
8,0.03254965806658852
9,0.03237166756642847
10,0.028418070799109796
11,0.027406266066059757
12,0.027810257451880288
13,0.025484874093708226
14,0.024001217557376064
15,0.021936615660894585
16,0.02159138357234506
17,0.020476078411922415
18,0.019667844133904672
19,0.01865737624705237
20,0.01808163414916022
21,0.017759772379674268
22,0.014219275926432226
23,0.016982129089939242
24,0.014311913668329514
25,0.014163708158366121
26,0.012356103123014116
27,0.012009728375981906
28,0.010441176174436902
29,0.009534965673806165
30,0.011891568670357105
