t,value
1,0.04842767109382619
2,0.04699344728360996
3,0.04247971697559773
4,0.040573566809501325
5,0.038800223526631275
6,0.037834859009773986
7,0.03455933458381183
8,0.03239403442426026
9,0.03104414184886834
10,0.02900665625730709
11,0.02629259279210711
12,0.025845381053900378
13,0.02445680977049291
14,0.024448601149210766
15,0.0226902387180516
16,0.021742752569346786
17,0.019962741891160513
18,0.02063819204662068
19,0.01947574497606286
20,0.013966866987550508
21,0.016265494363776355
22,0.017528878544689708
23,0.014421336332297564
24,0.013969627912406295
25,0.014076285760121612
26,0.012005030964649208
27,0.011746596096223045
28,0.012992317224347327
29,0.011675448452999063
30,0.008818165134813278
31,0.01002553909378023
32,0.009346930833410158
33,0.008836969691496726
34,0.009402466579586237
35,0.009723633728486331
36,0.007324755053159256
37,0.007078526979298491
38,0.007008535345333878
39,0.007448154843380219
40,0.005708943441160154
41,0.004100047712925686
42,0.007002064546565124
43,0.0036322423223372007
44,0.004488997288456288
45,0.004612293735934764
46,0.004220995976488338
47,0.0037934878998616053
48,0.0039558856652098864
49,0.003917530978211762
50,0.003512881139861413
51,0.0046774393635726965
52,0.0034055930506905726
53,0.004983960742194954
54,0.0038320664260167664
55,0.003402902578746361
56,0.0024083547846130275
57,0.0013491067162524106
58,0.004035090071988705
59,0.003391317141060303
60,0.004278278001418222
61,0.004419689225525887
62,0.0020111591079185727
63,0.0013989432899383172
64,0.003301689429538986
65,0.001219578479528666
66,0.0022974910681256957
67,0.00386463788582184
68,0.0017544182770808613
69,0.002358931659869723
70,0.0031072661029178435
