t,value
1,0.05820029190153794
2,0.05450398507722672
3,0.05109282781687941
4,0.04832292586814898
5,0.04568997568049424
6,0.04402671886535663
7,0.04156962576946725
8,0.03988332066566647
9,0.03833694019759834
10,0.035542115238140215
11,0.03265714579164737
12,0.031140178620337033
13,0.031106832517437913
14,0.028304667663844235
15,0.027122803628418957
16,0.026561232111990813
17,0.025151481383355385
18,0.022643529616967122
19,0.02233037263187626
20,0.019990498566087294
21,0.019551153271702957
22,0.018486558582922977
23,0.017810130068391276
24,0.01672634079893646
25,0.016539560582624523
26,0.015213242050801457
27,0.013609344860814524
28,0.014287816869828596
29,0.012222466897345286
30,0.011582154088549047
31,0.012674264542622939
32,0.011230727652156325
33,0.010614045961749247
34,0.010212626061891307
35,0.009205669868110116
36,0.009119917467451642
37,0.008186630303237838
38,0.00772472121238767
39,0.008797798379093955
40,0.008114659841283603
41,0.007246463752444185
42,0.0059530724361966224
43,0.006467747725900391
44,0.0056436786227858455
45,0.0062036563985960365
46,0.005021970585428343
47,0.004878807352671201
48,0.004368933724686209
49,0.0055662394331192945
50,0.005109118878736558
51,0.00367549397478813
52,0.004348341393064521
53,0.003991095727635277
54,0.004750686571224771
55,0.0036712143152133623
56,0.0036575700715770656
57,0.0039984698263023
58,0.0027167828788699955
59,0.0037197484564161433
60,0.0033560611180937757
61,0.0021827680332560224
62,0.0028244933066060196
63,0.0028506461399577443
64,0.003324187542284517
65,0.002878031297107014
66,0.0020029639071381397
67,0.0027036225051159718
68,0.0023915418435145478
69,0.0027932188362120207
70,0.002398335598839065
