t,value
1,0.053073740895285715
2,0.04654263249849282
3,0.04052917189083247
4,0.03459320421478448
5,0.03061768884916903
6,0.025478845838370585
7,0.023617472270558194
8,0.019533839760228208
9,0.017113116269865978
10,0.01465772662733158
11,0.014382310103423859
12,0.012089005338674599
13,0.011265262650085584
14,0.008699443514272211
15,0.007166395443591331
16,0.007804772763535145
17,0.0057813572802847615
18,0.005614295840532394
19,0.0048423478354277455
20,0.003631945532905678
21,0.0044847972880448185
22,0.0033627736543113216
23,0.003241432662059863
24,0.003914432286985632
25,0.002609214546890502
26,0.0030603041095284052
27,0.0025506943197859955
28,0.0027025960071394113
29,0.002230694511420199
30,0.002725655503441082
